25.987.87.0065
32.860.87.0065
32.890.87.0065
36.186.87.0065
36.200.87.0065
28.310.87.0065
36.185.87.0065
27.196.87.0065
36.227.87.0065
72.343.99.0065
25.058.99.0065
33.058.20.0065
33.032.20.0096
43.445.99.0000
43.446.99.0000
25.909.87.0065
25.313.87.0098
25.333.87.0098
30.036.00.0060
30.040.00.0060
30.087.00.0060
30.088.00.0060
36.124.00.0060
30.089.00.0060
20.210.00.0000
33.043.00.0060
25.962.20.0065
33.091.20.0069
99.016.01.0001
70.303.20.0065
